_key,name,lat,lon
139,Av. Hispanidad (fte. Pabellon Moctezuma),39.46111369966594,-6.375836452324853
140,Av. Hispanidad (fte. Pabellon Multiusos),39.46095244481858,-6.3782714848325
144,Pierre de Coubertin (cruce C/ La Habana),39.45350314692705,-6.377516865914493
145,Pierre de Coubertin (fte. num 34),39.45640239013903,-6.37824472968317
146,"Pierre de Coubertin, (fte. num 12)",39.45880446874118,-6.378898333935816
147,"Av. Hispanidad, 49",39.461004889937776,-6.374608621374089
148,"Av. Hispanidad, 37",39.46153585560477,-6.370997470553268
149,"Av. Hispanidad, 9 (frente a Juzgados)",39.46250796627118,-6.367776409100665
150,Rda. S. Francisco (fte. Htal. S. P. Alcantara),39.46613672737772,-6.3676977214661905
151,Puente S. Francisco(Residencial San Francisco),39.46924344628085,-6.369231084644351
152,Colon (cruce Pza Conquistadores),39.469601935692,-6.37352982393525
153,"A. D. Bustamante, 2 (cruce Islas Canarias)",39.47230741178022,-6.388445953782457
154,"Libra, pares (cruce C/ Osa Mayor)",39.475268651592884,-6.3927407649734285
155,Libra pares (cruce C/ Escorpio),39.476183157359245,-6.395356977750993
156,Av. Hispanidad (estacion autobuses),39.460846611979534,-6.381169302957561
157,Arsenio Gallego (fte. Centro de Salud),39.48648389775578,-6.365151410588893
160,Bda. Cerro de los Pinos,39.45559033146456,-6.3918020558043755
161,Campus (Filosofia y Letras),39.47921063983894,-6.338526067855049
162,"Av. Antonio Hurtado, 22",39.465821048343024,-6.376845051787195
163,Av. Cervantes (Casa Cultura),39.4587400564206,-6.3704635376532925
164,Club de Tenis Cabezarrubia,39.47693444621598,-6.4019549531472455
165,P. Capellanias (c/Molineros cruce Toneleros),39.48954810288272,-6.418181218879732
167,"Av. Juan Pablo II,130 (Porcelanosa)",39.4487232293709,-6.380880139272039
168,"Ceres Golf (Calerizo,26)",39.431372005283386,-6.376476968269347
169,"Ceres Golf (Cerro Romanos, 7)",39.42109402167342,-6.384122123491566
170,"Ceres Golf (Alcor del Roble, 9)",39.4220445696217,-6.3819261002386805
171,"Ceres Golf (Calerizo, frente num26)",39.43138738798579,-6.376360221439389
172,A. D. Bustamante (Parque),39.47400512685196,-6.390230663972317
173,"A. D. Bustamante,28 (cruce Islas Baleares)",39.47414236492042,-6.389923306078293
174,Urbanizacion La Canada,39.44536635422215,-6.386234658110743
176,"Av. Ruta de la Plata, 13",39.47207792973509,-6.3914650925851335
177,Av. Ruta de la Plata (Edificio Atenas),39.47003107773102,-6.3853695441614775
178,"Av. Ruta de la Plata, 4 (Edificio las Pergolas)",39.46986170737908,-6.384248419851812
179,"Av. Ruta de la Plata, 24",39.47166454342319,-6.3895045128353285
180,"Av. Ruta de la Plata, 42",39.472557986495715,-6.39198184993685
181,Rotonda Jesus Delgado V. (Asoc. Vecinos),39.47294848494365,-6.400162119586207
182,Av. Cuatro Lugares (Rotonda central),39.496573797738755,-6.3580145129732095
185,Pablo Naranjo (Hospital),39.46658752846884,-6.369703093226048
186,Av. Univesidad (C.Guardia Civil),39.478301991992026,-6.3519872682977
190,Juan Jose Narbon (Residencial Gredos),39.49583843658944,-6.366495688726459
191,"Rotonda c/ Villuercas (vta,)",39.4798986521215,-6.4015656011114075
192,Rio Salor (ida),39.47926475075307,-6.403030701029168
193,Rio Salor (vta.),39.47942218619607,-6.403222467572262
194,Fte. Colegio San Antonio,39.47973418043559,-6.4091280160313175
195,Colegio San Antonio,39.479878202514776,-6.4091226691136844
206,"P. Capellanias, c/Herreros (Norba)",39.485944857972605,-6.420628156687727
207,"P. Capellanias, c/Herreros (Prosegur)",39.48670358370666,-6.417472645669959
208,P. Capellanias (frente a C. Segur. Laboral),39.48709596096728,-6.414051612807523
209,"P. Capellanias, Hilanderas (Fte. Tuco)",39.484359647791,-6.4129439379585085
210,"P. Capellanias, Hilanderas (Tuco)",39.48435452551683,-6.4131185155924175
211,Res. Macondo (c/ Jose Arcadio Buendia),39.47007750239075,-6.4023031449969166
214,Emilio Cardenal Hernandez (fte. 4),39.49143218464051,-6.368440969100684
215,"Emilio Cardenal Hernandez, 4",39.49159715327429,-6.368167325136482
216,Frente Recinto Ferial,39.44164989419661,-6.376823123390409
217,Frente a Estacion I.T.V.,39.436640346399706,-6.374002131615272
218,Ceclavin (frente num 17),39.4795724451038,-6.3722362390678775
219,Ceclavin (cruce avda. San Blas),39.47948394828125,-6.369519330806947
220,San Petersburgo (frente num 9),39.45754221045958,-6.382850469478582
221,"San Petersburgo, 9",39.45763834763218,-6.382719032216626
